EnrollmentID,EnrollDate,QuizScore,EmployeeID,CourseID
1,2021-11-02 05:30:00+05:30,93.69,2,17
2,2024-04-25 05:30:00+05:30,17.23,477,32
3,2020-01-01 05:30:00+05:30,99.06,182,79
4,2021-08-24 05:30:00+05:30,,932,68
5,2022-11-05 05:30:00+05:30,10.67,147,70
6,2023-06-04 05:30:00+05:30,45.26,384,41
7,2021-10-24 05:30:00+05:30,15.58,384,89
8,2023-07-15 05:30:00+05:30,98.28,742,97
9,2020-12-12 05:30:00+05:30,,759,51
10,2020-04-11 05:30:00+05:30,47.82,439,89
11,2022-10-16 05:30:00+05:30,15.39,713,81
12,2020-12-03 05:30:00+05:30,,656,79
13,2024-05-12 05:30:00+05:30,28.57,238,62
14,2023-10-13 05:30:00+05:30,5.2,365,36
15,2022-06-10 05:30:00+05:30,96.42,118,25
16,2023-09-17 05:30:00+05:30,68.47,932,88
17,2023-12-01 05:30:00+05:30,92.82,62,24
18,2023-04-21 05:30:00+05:30,65.2,826,43
19,2020-08-27 05:30:00+05:30,,683,9
20,2023-08-24 05:30:00+05:30,28.82,480,29
21,2020-12-21 05:30:00+05:30,45.57,888,19
22,2021-09-03 05:30:00+05:30,8.4,80,100
23,2024-09-09 05:30:00+05:30,17.76,604,99
24,2022-07-02 05:30:00+05:30,14.81,433,22
25,2021-04-05 05:30:00+05:30,46.45,447,69
26,2022-03-19 05:30:00+05:30,51.44,627,32
27,2023-02-09 05:30:00+05:30,32.62,351,19
28,2021-07-11 05:30:00+05:30,93.16,926,64
29,2021-09-08 05:30:00+05:30,33.14,719,74
30,2024-09-09 05:30:00+05:30,,259,21
31,2020-03-04 05:30:00+05:30,85.86,546,9
32,2021-08-29 05:30:00+05:30,87.08,295,38
33,2024-07-29 05:30:00+05:30,65.31,971,12
34,2022-06-03 05:30:00+05:30,75.05,769,48
35,2022-02-12 05:30:00+05:30,89.38,854,25
36,2023-03-16 05:30:00+05:30,47.29,838,91
37,2023-09-14 05:30:00+05:30,22.17,677,3
38,2023-07-22 05:30:00+05:30,55.92,765,84
39,2024-08-04 05:30:00+05:30,64.54,426,33
40,2022-02-10 05:30:00+05:30,,769,21
41,2022-05-25 05:30:00+05:30,86.09,555,34
42,2023-10-21 05:30:00+05:30,,327,8
43,2023-12-23 05:30:00+05:30,23.25,958,6
44,2022-12-24 05:30:00+05:30,89.86,318,36
45,2020-11-19 05:30:00+05:30,,716,34
46,2020-01-25 05:30:00+05:30,51.81,785,91
47,2022-12-13 05:30:00+05:30,60.66,658,84
48,2024-08-14 05:30:00+05:30,17.76,200,81
49,2024-03-21 05:30:00+05:30,,985,68
50,2022-07-03 05:30:00+05:30,33.84,847,26
51,2021-10-17 05:30:00+05:30,71.84,464,39
52,2022-05-21 05:30:00+05:30,93.97,485,94
53,2022-08-06 05:30:00+05:30,63.41,203,82
54,2022-02-01 05:30:00+05:30,66.91,56,99
55,2022-12-30 05:30:00+05:30,55.78,246,77
56,2021-04-03 05:30:00+05:30,66.63,938,14
